insert time in msek,insert size,dbsize in triples
6297.314167022705,1,1000000
400.70581436157227,1001,1000000
502.92348861694336,2001,1000000
591.411828994751,3001,1000000
652.4791717529297,4001,1000000
688.33327293396,5001,1000000
799.7605800628662,6001,1000000
953.63450050354,7001,1000000
1373.342752456665,8001,1000000
9.28044319152832,1,1010000
169.63839530944824,1001,1010000
296.3125705718994,2001,1010000
432.4774742126465,3001,1010000
561.622142791748,4001,1010000
658.4300994873047,5001,1010000
773.8933563232422,6001,1010000
893.3053016662598,7001,1010000
1033.165454864502,8001,1010000
5.797386169433594,1,1020000
141.13259315490723,1001,1020000
273.65636825561523,2001,1020000
423.91228675842285,3001,1020000
521.782398223877,4001,1020000
677.5612831115723,5001,1020000
875.7400512695312,6001,1020000
999.0770816802979,7001,1020000
1206.9759368896484,8001,1020000
5.787372589111328,1,1030000
146.90423011779785,1001,1030000
274.0926742553711,2001,1030000
389.8758888244629,3001,1030000
525.2044200897217,4001,1030000
653.4807682037354,5001,1030000
792.1059131622314,6001,1030000
900.6950855255127,7001,1030000
1005.5255889892578,8001,1030000
5.404233932495117,1,1040000
141.91913604736328,1001,1040000
270.1587677001953,2001,1040000
426.342248916626,3001,1040000
529.0539264678955,4001,1040000
653.5611152648926,5001,1040000
767.1151161193848,6001,1040000
921.6587543487549,7001,1040000
1024.2998600006104,8001,1040000
6.189823150634766,1,1050000
186.36417388916016,1001,1050000
312.53600120544434,2001,1050000
486.7243766784668,3001,1050000
572.5152492523193,4001,1050000
713.2248878479004,5001,1050000
812.9360675811768,6001,1050000
996.1481094360352,7001,1050000
1073.3749866485596,8001,1050000
5.139589309692383,1,1060000
143.56517791748047,1001,1060000
267.5824165344238,2001,1060000
399.3058204650879,3001,1060000
530.8053493499756,4001,1060000
640.0070190429688,5001,1060000
808.0143928527832,6001,1060000
888.8709545135498,7001,1060000
1016.8411731719971,8001,1060000
5.3234100341796875,1,1070000
143.39232444763184,1001,1070000
293.14446449279785,2001,1070000
411.59701347351074,3001,1070000
540.1639938354492,4001,1070000
662.7674102783203,5001,1070000
808.1674575805664,6001,1070000
899.8653888702393,7001,1070000
1049.2796897888184,8001,1070000
4.873752593994141,1,1080000
143.3238983154297,1001,1080000
273.6375331878662,2001,1080000
429.29601669311523,3001,1080000
545.8149909973145,4001,1080000
662.2819900512695,5001,1080000
778.4695625305176,6001,1080000
920.0866222381592,7001,1080000
1039.3126010894775,8001,1080000
4.836320877075195,1,1090000
142.9150104522705,1001,1090000
268.665075302124,2001,1090000
394.73915100097656,3001,1090000
552.0877838134766,4001,1090000
663.933277130127,5001,1090000
779.5615196228027,6001,1090000
914.2289161682129,7001,1090000
1056.7145347595215,8001,1090000
4.629373550415039,1,1100000
148.00763130187988,1001,1100000
272.7537155151367,2001,1100000
409.2297554016113,3001,1100000
530.2248001098633,4001,1100000
694.6947574615479,5001,1100000
792.7796840667725,6001,1100000
906.4445495605469,7001,1100000
1062.699794769287,8001,1100000
4.971504211425781,1,1110000
140.14220237731934,1001,1110000
266.1750316619873,2001,1110000
411.23127937316895,3001,1110000
521.315336227417,4001,1110000
661.6191864013672,5001,1110000
797.7001667022705,6001,1110000
909.5606803894043,7001,1110000
1065.8621788024902,8001,1110000
4.436492919921875,1,1120000
141.37911796569824,1001,1120000
269.1466808319092,2001,1120000
397.7088928222656,3001,1120000
526.4952182769775,4001,1120000
652.4674892425537,5001,1120000
785.7489585876465,6001,1120000
938.0331039428711,7001,1120000
1021.6028690338135,8001,1120000
4.378080368041992,1,1130000
137.528657913208,1001,1130000
271.2686061859131,2001,1130000
399.7836112976074,3001,1130000
550.4238605499268,4001,1130000
665.3845310211182,5001,1130000
783.257246017456,6001,1130000
933.7570667266846,7001,1130000
1026.8135070800781,8001,1130000
4.694461822509766,1,1140000
145.69497108459473,1001,1140000
272.6724147796631,2001,1140000
403.2468795776367,3001,1140000
532.1147441864014,4001,1140000
682.8715801239014,5001,1140000
781.7275524139404,6001,1140000
903.97047996521,7001,1140000
1056.0359954833984,8001,1140000
4.336357116699219,1,1150000
138.29827308654785,1001,1150000
268.3978080749512,2001,1150000
397.8466987609863,3001,1150000
525.1121520996094,4001,1150000
653.3629894256592,5001,1150000
811.6188049316406,6001,1150000
905.754566192627,7001,1150000
1051.7733097076416,8001,1150000
4.434108734130859,1,1160000
140.5043601989746,1001,1160000
272.6166248321533,2001,1160000
400.87246894836426,3001,1160000
531.4412117004395,4001,1160000
656.7604541778564,5001,1160000
787.4689102172852,6001,1160000
934.8101615905762,7001,1160000
1048.3310222625732,8001,1160000
4.4689178466796875,1,1170000
141.90912246704102,1001,1170000
271.6326713562012,2001,1170000
422.8217601776123,3001,1170000
527.6083946228027,4001,1170000
657.120943069458,5001,1170000
830.8703899383545,6001,1170000
938.8091564178467,7001,1170000
1046.4048385620117,8001,1170000
4.034757614135742,1,1180000
138.88072967529297,1001,1180000
266.0508155822754,2001,1180000
401.48401260375977,3001,1180000
529.0248394012451,4001,1180000
696.5854167938232,5001,1180000
778.7909507751465,6001,1180000
919.257402420044,7001,1180000
1059.3688488006592,8001,1180000
4.495382308959961,1,1190000
139.1427516937256,1001,1190000
270.2963352203369,2001,1190000
412.61816024780273,3001,1190000
546.630859375,4001,1190000
668.3657169342041,5001,1190000
819.7107315063477,6001,1190000
916.860818862915,7001,1190000
1053.609848022461,8001,1190000
4.3735504150390625,1,1200000
138.86404037475586,1001,1200000
267.9018974304199,2001,1200000
429.7482967376709,3001,1200000
532.3925018310547,4001,1200000
652.1146297454834,5001,1200000
782.0014953613281,6001,1200000
930.8786392211914,7001,1200000
1032.4969291687012,8001,1200000
4.196405410766602,1,1210000
136.08503341674805,1001,1210000
267.58623123168945,2001,1210000
404.6437740325928,3001,1210000
554.685115814209,4001,1210000
655.2691459655762,5001,1210000
784.325122833252,6001,1210000
932.7831268310547,7001,1210000
1058.7308406829834,8001,1210000
4.329204559326172,1,1220000
136.42001152038574,1001,1220000
267.7004337310791,2001,1220000
398.07701110839844,3001,1220000
517.9691314697266,4001,1220000
678.6701679229736,5001,1220000
788.560152053833,6001,1220000
908.2155227661133,7001,1220000
1065.9499168395996,8001,1220000
4.460573196411133,1,1230000
137.50076293945312,1001,1230000
269.30785179138184,2001,1230000
