insert time in msek,insert size,dbsize in triples
416.34488105773926,3001,1230000
520.1318264007568,4001,1230000
640.5162811279297,5001,1230000
770.5080509185791,6001,1230000
917.7343845367432,7001,1230000
1008.85009765625,8001,1230000
4.147529602050781,1,1240000
137.05682754516602,1001,1240000
261.1064910888672,2001,1240000
404.53433990478516,3001,1240000
513.9434337615967,4001,1240000
662.2726917266846,5001,1240000
758.3348751068115,6001,1240000
882.7903270721436,7001,1240000
1044.861078262329,8001,1240000
4.296541213989258,1,1250000
135.38050651550293,1001,1250000
257.63607025146484,2001,1250000
391.613245010376,3001,1250000
511.0809803009033,4001,1250000
639.4710540771484,5001,1250000
807.7754974365234,6001,1250000
890.3565406799316,7001,1250000
1008.3165168762207,8001,1250000
4.3735504150390625,1,1260000
133.89325141906738,1001,1260000
268.3141231536865,2001,1260000
419.59547996520996,3001,1260000
521.6937065124512,4001,1260000
643.5813903808594,5001,1260000
774.5749950408936,6001,1260000
915.4195785522461,7001,1260000
1030.1949977874756,8001,1260000
4.307985305786133,1,1270000
136.6746425628662,1001,1270000
267.8508758544922,2001,1270000
392.38476753234863,3001,1270000
516.7829990386963,4001,1270000
672.0035076141357,5001,1270000
770.2007293701172,6001,1270000
891.1995887756348,7001,1270000
1055.6035041809082,8001,1270000
4.14276123046875,1,1280000
135.37192344665527,1001,1280000
264.55092430114746,2001,1280000
391.62182807922363,3001,1280000
523.5512256622314,4001,1280000
650.2163410186768,5001,1280000
769.8178291320801,6001,1280000
920.7494258880615,7001,1280000
1030.3826332092285,8001,1280000
4.316568374633789,1,1290000
135.1006031036377,1001,1290000
262.49074935913086,2001,1290000
415.0197505950928,3001,1290000
519.9813842773438,4001,1290000
641.0379409790039,5001,1290000
769.1709995269775,6001,1290000
934.0429306030273,7001,1290000
1021.2278366088867,8001,1290000
3.9086341857910156,1,1300000
134.8557472229004,1001,1300000
259.5500946044922,2001,1300000
389.68610763549805,3001,1300000
532.5219631195068,4001,1300000
662.0333194732666,5001,1300000
760.9603404998779,6001,1300000
892.1833038330078,7001,1300000
1058.8741302490234,8001,1300000
3.9463043212890625,1,1310000
137.41302490234375,1001,1310000
263.17501068115234,2001,1310000
393.2816982269287,3001,1310000
520.9357738494873,4001,1310000
649.616003036499,5001,1310000
802.1490573883057,6001,1310000
902.3580551147461,7001,1310000
1031.4807891845703,8001,1310000
4.012346267700195,1,1320000
139.2078399658203,1001,1320000
289.20626640319824,2001,1320000
397.3243236541748,3001,1320000
523.5247611999512,4001,1320000
647.625207901001,5001,1320000
764.2834186553955,6001,1320000
909.4765186309814,7001,1320000
1036.5841388702393,8001,1320000
4.086732864379883,1,1330000
135.1625919342041,1001,1330000
266.95823669433594,2001,1330000
417.4377918243408,3001,1330000
538.6683940887451,4001,1330000
643.7478065490723,5001,1330000
766.8492794036865,6001,1330000
921.6945171356201,7001,1330000
1017.4264907836914,8001,1330000
4.078388214111328,1,1340000
138.0603313446045,1001,1340000
263.1561756134033,2001,1340000
394.514799118042,3001,1340000
525.4099369049072,4001,1340000
677.0913600921631,5001,1340000
778.4378528594971,6001,1340000
907.9418182373047,7001,1340000
1056.7944049835205,8001,1340000
3.8187503814697266,1,1350000
135.08224487304688,1001,1350000
261.768102645874,2001,1350000
403.72538566589355,3001,1350000
519.1624164581299,4001,1350000
643.9125537872314,5001,1350000
806.2164783477783,6001,1350000
901.430606842041,7001,1350000
1015.397310256958,8001,1350000
3.973722457885742,1,1360000
135.06126403808594,1001,1360000
298.4333038330078,2001,1360000
395.37858963012695,3001,1360000
519.9503898620605,4001,1360000
645.7741260528564,5001,1360000
774.7459411621094,6001,1360000
941.6582584381104,7001,1360000
1030.3699970245361,8001,1360000
4.272699356079102,1,1370000
139.40691947937012,1001,1370000
263.6551856994629,2001,1370000
393.7840461730957,3001,1370000
547.4340915679932,4001,1370000
654.5779705047607,5001,1370000
773.9748954772949,6001,1370000
921.6532707214355,7001,1370000
1024.7406959533691,8001,1370000
3.972768783569336,1,1380000
134.0658664703369,1001,1380000
263.5979652404785,2001,1380000
398.7882137298584,3001,1380000
520.9197998046875,4001,1380000
676.795244216919,5001,1380000
780.7302474975586,6001,1380000
901.1609554290771,7001,1380000
1046.42915725708,8001,1380000
3.7653446197509766,1,1390000
133.6953639984131,1001,1390000
261.171817779541,2001,1390000
391.3383483886719,3001,1390000
518.7108516693115,4001,1390000
641.0391330718994,5001,1390000
802.3297786712646,6001,1390000
900.3658294677734,7001,1390000
1027.618169784546,8001,1390000
3.735780715942383,1,1400000
134.84716415405273,1001,1400000
299.31044578552246,2001,1400000
424.31139945983887,3001,1400000
518.1074142456055,4001,1400000
640.9783363342285,5001,1400000
771.6877460479736,6001,1400000
916.759729385376,7001,1400000
1041.0876274108887,8001,1400000
3.8564205169677734,1,1410000
135.11180877685547,1001,1410000
267.2717571258545,2001,1410000
389.9815082550049,3001,1410000
552.5002479553223,4001,1410000
644.9306011199951,5001,1410000
765.2435302734375,6001,1410000
918.3290004730225,7001,1410000
1020.3211307525635,8001,1410000
3.8268566131591797,1,1420000
133.955717086792,1001,1420000
265.8345699310303,2001,1420000
403.0635356903076,3001,1420000
517.2266960144043,4001,1420000
666.7721271514893,5001,1420000
806.7889213562012,6001,1420000
887.9120349884033,7001,1420000
1047.4798679351807,8001,1420000
3.683328628540039,1,1430000
135.10560989379883,1001,1430000
260.4520320892334,2001,1430000
391.98970794677734,3001,1430000
520.5798149108887,4001,1430000
644.5474624633789,5001,1430000
813.1723403930664,6001,1430000
895.4880237579346,7001,1430000
1026.3268947601318,8001,1430000
3.880023956298828,1,1440000
134.2010498046875,1001,1440000
266.49928092956543,2001,1440000
424.6370792388916,3001,1440000
529.1979312896729,4001,1440000
662.3241901397705,5001,1440000
794.755220413208,6001,1440000
940.3188228607178,7001,1440000
1033.2930088043213,8001,1440000
4.092693328857422,1,1450000
134.92488861083984,1001,1450000
263.0922794342041,2001,1450000
394.5460319519043,3001,1450000
513.9999389648438,4001,1450000
667.9685115814209,5001,1450000
768.88108253479,6001,1450000
898.5381126403809,7001,1450000
1041.618824005127,8001,1450000
3.9641857147216797,1,1460000
142.0598030090332,1001,1460000
267.17495918273926,2001,1460000
395.5702781677246,3001,1460000
523.822546005249,4001,1460000
651.7295837402344,5001,1460000
810.6575012207031,6001,1460000
909.7423553466797,7001,1460000
1029.569387435913,8001,1460000
3.6046504974365234,1,1470000
165.0087833404541,1001,1470000
260.88523864746094,2001,1470000
391.890287399292,3001,1470000
520.8954811096191,4001,1470000
649.4410037994385,5001,1470000
776.3464450836182,6001,1470000
914.6511554718018,7001,1470000
1051.891565322876,8001,1470000
3.9644241333007812,1,1480000
152.59599685668945,1001,1480000
271.85821533203125,2001,1480000
438.39573860168457,3001,1480000
528.6355018615723,4001,1480000
653.6672115325928,5001,1480000
779.2248725891113,6001,1480000
932.3787689208984,7001,1480000
1034.6543788909912,8001,1480000
3.7338733673095703,1,1490000
138.7629508972168,1001,1490000
263.08202743530273,2001,1490000
395.89738845825195,3001,1490000
522.1080780029297,4001,1490000
673.9609241485596,5001,1490000
793.6978340148926,6001,1490000
898.6437320709229,7001,1490000
1047.706127166748,8001,1490000
3.826618194580078,1,1500000
