insert time in msek,insert size,dbsize in triples
6234.13348197937,1,1000000
431.05602264404297,1001,1000000
466.2046432495117,2001,1000000
625.4584789276123,3001,1000000
608.4628105163574,4001,1000000
671.5104579925537,5001,1000000
847.8906154632568,6001,1000000
961.5349769592285,7001,1000000
1304.1036128997803,8001,1000000
7.257699966430664,1,1010000
142.55642890930176,1001,1010000
296.433687210083,2001,1010000
399.1537094116211,3001,1010000
516.9322490692139,4001,1010000
640.4755115509033,5001,1010000
804.3193817138672,6001,1010000
878.8666725158691,7001,1010000
1021.4567184448242,8001,1010000
5.490541458129883,1,1020000
145.2925205230713,1001,1020000
275.653600692749,2001,1020000
384.9174976348877,3001,1020000
535.1295471191406,4001,1020000
659.5523357391357,5001,1020000
767.2398090362549,6001,1020000
896.1589336395264,7001,1020000
1011.4941596984863,8001,1020000
5.576610565185547,1,1030000
134.51695442199707,1001,1030000
258.6953639984131,2001,1030000
384.8145008087158,3001,1030000
525.2115726470947,4001,1030000
670.2539920806885,5001,1030000
759.4139575958252,6001,1030000
875.908613204956,7001,1030000
1036.142110824585,8001,1030000
5.524158477783203,1,1040000
135.5884075164795,1001,1040000
263.99755477905273,2001,1040000
393.9647674560547,3001,1040000
513.0438804626465,4001,1040000
640.7365798950195,5001,1040000
785.2108478546143,6001,1040000
883.6722373962402,7001,1040000
1005.0568580627441,8001,1040000
5.291938781738281,1,1050000
134.98735427856445,1001,1050000
261.8823051452637,2001,1050000
419.8338985443115,3001,1050000
520.2839374542236,4001,1050000
643.3424949645996,5001,1050000
766.2298679351807,6001,1050000
915.6787395477295,7001,1050000
1015.0420665740967,8001,1050000
5.118131637573242,1,1060000
133.03184509277344,1001,1060000
261.47913932800293,2001,1060000
388.4859085083008,3001,1060000
531.8553447723389,4001,1060000
632.4374675750732,5001,1060000
762.0744705200195,6001,1060000
887.1452808380127,7001,1060000
1028.8276672363281,8001,1060000
5.6056976318359375,1,1070000
145.7207202911377,1001,1070000
265.58661460876465,2001,1070000
393.77307891845703,3001,1070000
523.9431858062744,4001,1070000
676.264762878418,5001,1070000
788.2306575775146,6001,1070000
898.7338542938232,7001,1070000
1045.8393096923828,8001,1070000
4.860162734985352,1,1080000
137.07995414733887,1001,1080000
262.0079517364502,2001,1080000
391.0255432128906,3001,1080000
533.2162380218506,4001,1080000
646.5137004852295,5001,1080000
793.0245399475098,6001,1080000
894.7105407714844,7001,1080000
1034.5845222473145,8001,1080000
5.102634429931641,1,1090000
138.5056972503662,1001,1090000
261.1246109008789,2001,1090000
423.65550994873047,3001,1090000
525.6848335266113,4001,1090000
646.8749046325684,5001,1090000
769.9272632598877,6001,1090000
927.4933338165283,7001,1090000
1035.569667816162,8001,1090000
4.541158676147461,1,1100000
134.9341869354248,1001,1100000
265.00773429870605,2001,1100000
398.1213569641113,3001,1100000
544.6670055389404,4001,1100000
646.1431980133057,5001,1100000
773.4270095825195,6001,1100000
895.4098224639893,7001,1100000
1052.1221160888672,8001,1100000
4.738569259643555,1,1110000
136.8577480316162,1001,1110000
265.0296688079834,2001,1110000
395.3120708465576,3001,1110000
515.8441066741943,4001,1110000
644.2832946777344,5001,1110000
800.3365993499756,6001,1110000
901.9501209259033,7001,1110000
1047.2583770751953,8001,1110000
4.68754768371582,1,1120000
138.08321952819824,1001,1120000
261.1124515533447,2001,1120000
388.7004852294922,3001,1120000
513.4646892547607,4001,1120000
641.366720199585,5001,1120000
786.3931655883789,6001,1120000
921.4322566986084,7001,1120000
1010.4060173034668,8001,1120000
4.355907440185547,1,1130000
135.85424423217773,1001,1130000
266.54839515686035,2001,1130000
394.8023319244385,3001,1130000
545.5965995788574,4001,1130000
650.0897407531738,5001,1130000
782.7274799346924,6001,1130000
923.2122898101807,7001,1130000
1016.8535709381104,8001,1130000
4.40216064453125,1,1140000
137.51983642578125,1001,1140000
266.5979862213135,2001,1140000
393.5725688934326,3001,1140000
518.2027816772461,4001,1140000
672.6038455963135,5001,1140000
783.0450534820557,6001,1140000
892.5437927246094,7001,1140000
1069.140911102295,8001,1140000
4.34422492980957,1,1150000
136.1382007598877,1001,1150000
270.9980010986328,2001,1150000
391.2842273712158,3001,1150000
519.2656517028809,4001,1150000
656.2070846557617,5001,1150000
795.8266735076904,6001,1150000
902.9698371887207,7001,1150000
1069.9787139892578,8001,1150000
4.318714141845703,1,1160000
136.33251190185547,1001,1160000
264.4236087799072,2001,1160000
395.42698860168457,3001,1160000
523.543119430542,4001,1160000
646.397590637207,5001,1160000
784.8737239837646,6001,1160000
925.0788688659668,7001,1160000
1023.0040550231934,8001,1160000
4.321813583374023,1,1170000
136.31367683410645,1001,1170000
265.1090621948242,2001,1170000
422.96695709228516,3001,1170000
522.4728584289551,4001,1170000
649.5707035064697,5001,1170000
775.9644985198975,6001,1170000
923.4166145324707,7001,1170000
1044.7008609771729,8001,1170000
4.078388214111328,1,1180000
133.0587863922119,1001,1180000
259.10234451293945,2001,1180000
398.0281352996826,3001,1180000
518.9290046691895,4001,1180000
677.6609420776367,5001,1180000
787.0182991027832,6001,1180000
899.1279602050781,7001,1180000
1061.000108718872,8001,1180000
4.494428634643555,1,1190000
139.35041427612305,1001,1190000
264.84012603759766,2001,1190000
394.9568271636963,3001,1190000
527.7392864227295,4001,1190000
647.4378108978271,5001,1190000
807.3837757110596,6001,1190000
893.5120105743408,7001,1190000
1052.4678230285645,8001,1190000
4.182100296020508,1,1200000
137.09735870361328,1001,1200000
261.721134185791,2001,1200000
421.2005138397217,3001,1200000
524.3570804595947,4001,1200000
650.8355140686035,5001,1200000
780.6620597839355,6001,1200000
938.9426708221436,7001,1200000
1038.923740386963,8001,1200000
4.3392181396484375,1,1210000
135.3929042816162,1001,1210000
267.2746181488037,2001,1210000
401.6742706298828,3001,1210000
549.4632720947266,4001,1210000
659.0859889984131,5001,1210000
786.8020534515381,6001,1210000
931.9374561309814,7001,1210000
1048.494815826416,8001,1210000
4.150390625,1,1220000
134.7939968109131,1001,1220000
266.7500972747803,2001,1220000
401.8406867980957,3001,1220000
526.5953540802002,4001,1220000
671.1699962615967,5001,1220000
777.780294418335,6001,1220000
901.2901782989502,7001,1220000
1051.8484115600586,8001,1220000
4.418611526489258,1,1230000
136.99936866760254,1001,1230000
269.12546157836914,2001,1230000
398.5412120819092,3001,1230000
528.6648273468018,4001,1230000
651.5471935272217,5001,1230000
793.2848930358887,6001,1230000
935.1561069488525,7001,1230000
1032.806634902954,8001,1230000
4.282236099243164,1,1240000
138.5211944580078,1001,1240000
263.19146156311035,2001,1240000
415.4925346374512,3001,1240000
544.8875427246094,4001,1240000
647.2854614257812,5001,1240000
781.466007232666,6001,1240000
925.0342845916748,7001,1240000
1032.278299331665,8001,1240000
4.48918342590332,1,1250000
139.38355445861816,1001,1250000
269.73748207092285,2001,1250000
397.960901260376,3001,1250000
539.060115814209,4001,1250000
689.0077590942383,5001,1250000
785.0072383880615,6001,1250000
921.2796688079834,7001,1250000
1056.9815635681152,8001,1250000
4.2171478271484375,1,1260000
137.0849609375,1001,1260000
269.9153423309326,2001,1260000
400.86960792541504,3001,1260000
528.010368347168,4001,1260000
657.4215888977051,5001,1260000
808.7644577026367,6001,1260000
900.5453586578369,7001,1260000
1058.6128234863281,8001,1260000
4.164695739746094,1,1270000
141.54958724975586,1001,1270000
272.6473808288574,2001,1270000
405.4114818572998,3001,1270000
557.2984218597412,4001,1270000
666.6717529296875,5001,1270000
788.2418632507324,6001,1270000
944.9765682220459,7001,1270000
1056.1041831970215,8001,1270000
4.109859466552734,1,1280000
137.62903213500977,1001,1280000
267.200231552124,2001,1280000
396.9290256500244,3001,1280000
557.8746795654297,4001,1280000
661.8428230285645,5001,1280000
797.0490455627441,6001,1280000
913.3954048156738,7001,1280000
1101.1316776275635,8001,1280000
4.298686981201172,1,1290000
138.5788917541504,1001,1290000
268.66793632507324,2001,1290000
403.2137393951416,3001,1290000
527.3163318634033,4001,1290000
678.9448261260986,5001,1290000
788.4314060211182,6001,1290000
925.3408908843994,7001,1290000
1082.1847915649414,8001,1290000
4.506349563598633,1,1300000
136.4297866821289,1001,1300000
271.88849449157715,2001,1300000
404.6063423156738,3001,1300000
533.5595607757568,4001,1300000
662.9338264465332,5001,1300000
784.1982841491699,6001,1300000
961.9605541229248,7001,1300000
1048.435926437378,8001,1300000
3.999948501586914,1,1310000
142.96793937683105,1001,1310000
270.31421661376953,2001,1310000
401.108980178833,3001,1310000
561.6273880004883,4001,1310000
667.9172515869141,5001,1310000
786.9586944580078,6001,1310000
910.0427627563477,7001,1310000
1075.103759765625,8001,1310000
4.106283187866211,1,1320000
137.9551887512207,1001,1320000
266.0174369812012,2001,1320000
398.03099632263184,3001,1320000
527.0795822143555,4001,1320000
682.7006340026855,5001,1320000
784.553050994873,6001,1320000
905.2743911743164,7001,1320000
1065.699815750122,8001,1320000
4.161596298217773,1,1330000
139.16540145874023,1001,1330000
269.5338726043701,2001,1330000
402.2817611694336,3001,1330000
537.3718738555908,4001,1330000
670.1571941375732,5001,1330000
812.0536804199219,6001,1330000
