generation time in msek,dbsize in triples
596.9150066375732,1000000
568.0618286132812,1010000
564.6936893463135,1020000
580.6787014007568,1030000
567.8093433380127,1040000
569.2055225372314,1050000
573.4305381774902,1060000
580.3530216217041,1070000
595.9715843200684,1080000
591.8164253234863,1090000
595.7274436950684,1100000
608.7923049926758,1110000
608.6037158966064,1120000
610.2192401885986,1130000
618.3688640594482,1140000
626.1825561523438,1150000
633.0926418304443,1160000
635.7920169830322,1170000
644.681453704834,1180000
641.3466930389404,1190000
644.4752216339111,1200000
644.4807052612305,1210000
656.1105251312256,1220000
661.7202758789062,1230000
674.7839450836182,1240000
673.0093955993652,1250000
686.6133213043213,1260000
685.4369640350342,1270000
691.9064521789551,1280000
690.1335716247559,1290000
700.4380226135254,1300000
690.7410621643066,1310000
700.563907623291,1320000
721.2116718292236,1330000
718.0066108703613,1340000
708.806037902832,1350000
891.9851779937744,1360000
725.9154319763184,1370000
739.9039268493652,1380000
745.2735900878906,1390000
745.2607154846191,1400000
746.8423843383789,1410000
753.9229393005371,1420000
744.0540790557861,1430000
755.4218769073486,1440000
756.9880485534668,1450000
765.0177478790283,1460000
772.923469543457,1470000
771.7680931091309,1480000
780.2245616912842,1490000
780.1909446716309,1500000
787.4593734741211,1510000
785.2051258087158,1520000
814.255952835083,1530000
824.9852657318115,1540000
822.0126628875732,1550000
864.7987842559814,1560000
859.6420288085938,1570000
829.477071762085,1580000
848.0515480041504,1590000
846.8999862670898,1600000
879.3871402740479,1610000
858.0532073974609,1620000
858.6874008178711,1630000
847.7635383605957,1640000
854.6223640441895,1650000
877.0232200622559,1660000
882.1415901184082,1670000
893.4557437896729,1680000
884.1819763183594,1690000
889.0290260314941,1700000
901.3237953186035,1710000
891.6282653808594,1720000
897.932767868042,1730000
902.2810459136963,1740000
914.0625,1750000
925.7090091705322,1760000
943.4535503387451,1770000
908.0483913421631,1780000
923.5808849334717,1790000
937.3424053192139,1800000
930.229663848877,1810000
965.5861854553223,1820000
961.7631435394287,1830000
961.1308574676514,1840000
968.8010215759277,1850000
1078.4075260162354,1860000
978.142499923706,1870000
1004.2085647583008,1880000
992.0341968536377,1890000
992.3162460327148,1900000
983.5810661315918,1910000
1001.8444061279297,1920000
1010.4982852935791,1930000
1026.6964435577393,1940000
1004.6215057373047,1950000
1041.316032409668,1960000
1015.6126022338867,1970000
1031.0938358306885,1980000
1035.0258350372314,1990000
1053.9097785949707,2000000
1070.3802108764648,2010000
1057.591199874878,2020000
1054.786205291748,2030000
1070.2006816864014,2040000
1055.4111003875732,2050000
1070.9974765777588,2060000
1062.0698928833008,2070000
1082.9682350158691,2080000
1084.8650932312012,2090000
1088.3910655975342,2100000
1097.322702407837,2110000
1114.971399307251,2120000
1098.3920097351074,2130000
1118.194341659546,2140000
1112.572193145752,2150000
1138.8006210327148,2160000
1129.5750141143799,2170000
1134.009838104248,2180000
1150.118350982666,2190000
1153.3925533294678,2200000
1121.2530136108398,2210000
1113.229751586914,2220000
1136.6369724273682,2230000
1130.666971206665,2240000
1163.4562015533447,2250000
1151.6718864440918,2260000
1140.723466873169,2270000
1144.4780826568604,2280000
1193.7425136566162,2290000
1159.050703048706,2300000
1163.6133193969727,2310000
1159.3754291534424,2320000
1194.967269897461,2330000
1173.1212139129639,2340000
1185.8243942260742,2350000
1195.1775550842285,2360000
1203.8359642028809,2370000
1232.5618267059326,2380000
1208.4648609161377,2390000
1201.9670009613037,2400000
1205.3992748260498,2410000
1232.0122718811035,2420000
1216.8598175048828,2430000
1212.3386859893799,2440000
1234.8010540008545,2450000
1235.274314880371,2460000
1261.556625366211,2470000
1247.762680053711,2480000
1280.5445194244385,2490000
1258.1045627593994,2500000
1285.99214553833,2510000
1271.5892791748047,2520000
1270.803451538086,2530000
1272.6192474365234,2540000
1287.6410484313965,2550000
1282.5403213500977,2560000
1307.3787689208984,2570000
1294.6627140045166,2580000
1310.2233409881592,2590000
1309.6363544464111,2600000
1322.6666450500488,2610000
1304.1870594024658,2620000
1311.624526977539,2630000
1337.4755382537842,2640000
1308.9191913604736,2650000
1359.0805530548096,2660000
1338.895320892334,2670000
1369.7664737701416,2680000
1332.8194618225098,2690000
1362.684965133667,2700000
1365.7712936401367,2710000
1350.7404327392578,2720000
1373.5291957855225,2730000
1371.1252212524414,2740000
1355.900764465332,2750000
1406.9314002990723,2760000
1414.5760536193848,2770000
1399.996280670166,2780000
1407.4108600616455,2790000
1404.1569232940674,2800000
1540.5361652374268,2810000
1434.779405593872,2820000
1416.2628650665283,2830000
1433.7341785430908,2840000
1461.7953300476074,2850000
1446.5525150299072,2860000
1444.92506980896,2870000
1449.965476989746,2880000
1455.4939270019531,2890000
1463.6847972869873,2900000
1450.5701065063477,2910000
1485.0788116455078,2920000
1458.4779739379883,2930000
1458.549976348877,2940000
1559.4573020935059,2950000
1496.9100952148438,2960000
1496.1333274841309,2970000
1499.3484020233154,2980000
1506.3555240631104,2990000
1518.6171531677246,3000000
1517.679214477539,3010000
1483.8950634002686,3020000
1544.478178024292,3030000
1523.4148502349854,3040000
2040.8072471618652,3050000
1569.1406726837158,3060000
2061.296224594116,3070000
2506.826639175415,3080000
2624.2072582244873,3090000
2587.2960090637207,3100000
2652.6448726654053,3110000
2666.393041610718,3120000
2846.970319747925,3130000
2720.992088317871,3140000
2744.6799278259277,3150000
2655.0025939941406,3160000
2649.829149246216,3170000
2685.7376098632812,3180000
2735.3553771972656,3190000
2708.892345428467,3200000
3090.230941772461,3210000
2826.951026916504,3220000
2729.269027709961,3230000
2690.9520626068115,3240000
