generation_time,dbsize
36.86642646789551,0
25.108814239501953,10000
21.12889289855957,20000
27.4810791015625,30000
28.097152709960938,40000
32.56988525390625,50000
37.29534149169922,60000
39.307355880737305,70000
43.11490058898926,80000
48.03776741027832,90000
52.778005599975586,100000
60.739994049072266,110000
61.274051666259766,120000
66.02931022644043,130000
70.71113586425781,140000
74.27024841308594,150000
79.34975624084473,160000
84.31744575500488,170000
89.28513526916504,180000
91.13097190856934,190000
98.19984436035156,200000
102.22434997558594,210000
105.67760467529297,220000
112.11752891540527,230000
118.66378784179688,240000
118.89338493347168,250000
124.47929382324219,260000
129.68039512634277,270000
135.23411750793457,280000
145.19381523132324,290000
142.04049110412598,300000
149.93953704833984,310000
155.45129776000977,320000
152.79173851013184,330000
163.32006454467773,340000
164.23463821411133,350000
171.30756378173828,360000
170.43304443359375,370000
183.7327480316162,380000
183.18438529968262,390000
188.80367279052734,400000
196.92301750183105,410000
207.46636390686035,420000
203.62353324890137,430000
208.77504348754883,440000
213.84429931640625,450000
220.07036209106445,460000
223.26135635375977,470000
225.083589553833,480000
232.72228240966797,490000
237.7948760986328,500000
242.13480949401855,510000
252.85768508911133,520000
249.6480941772461,530000
275.5389213562012,540000
260.5891227722168,550000
271.2435722351074,560000
275.56681632995605,570000
285.8438491821289,580000
278.09691429138184,590000
287.74166107177734,600000
293.19071769714355,610000
307.783842086792,620000
301.91946029663086,630000
317.9278373718262,640000
314.8355484008789,650000
321.6407299041748,660000
325.242280960083,670000
331.1636447906494,680000
332.489013671875,690000
338.4106159210205,700000
342.12374687194824,710000
352.8470993041992,720000
364.4213676452637,730000
361.2387180328369,740000
363.5225296020508,750000
376.4533996582031,760000
381.5746307373047,770000
385.2858543395996,780000
396.9273567199707,790000
392.6653861999512,800000
396.48962020874023,810000
407.7465534210205,820000
410.77208518981934,830000
420.1672077178955,840000
433.54129791259766,850000
435.0409507751465,860000
436.74564361572266,870000
436.5501403808594,880000
447.8719234466553,890000
444.10204887390137,900000
463.925838470459,910000
460.0658416748047,920000
458.9548110961914,930000
466.18199348449707,940000
472.5196361541748,950000
475.70085525512695,960000
479.8698425292969,970000
484.7733974456787,980000
500.6270408630371,990000
497.27582931518555,1000000
552.1688461303711,1010000
543.5683727264404,1020000
548.0790138244629,1030000
563.023567199707,1040000
559.4754219055176,1050000
559.9048137664795,1060000
564.4052028656006,1070000
571.636438369751,1080000
578.667402267456,1090000
581.0916423797607,1100000
584.8441123962402,1110000
601.3977527618408,1120000
604.2830944061279,1130000
610.7158660888672,1140000
613.6479377746582,1150000
615.7307624816895,1160000
614.6585941314697,1170000
630.892276763916,1180000
653.7683010101318,1190000
623.3971118927002,1200000
642.9002285003662,1210000
631.8793296813965,1220000
640.3987407684326,1230000
652.4910926818848,1240000
659.3103408813477,1250000
670.4518795013428,1260000
671.0560321807861,1270000
671.489953994751,1280000
661.7984771728516,1290000
689.7687911987305,1300000
698.9614963531494,1310000
695.2471733093262,1320000
698.8554000854492,1330000
694.4639682769775,1340000
710.5922698974609,1350000
697.7388858795166,1360000
713.3097648620605,1370000
718.4507846832275,1380000
729.9296855926514,1390000
719.7251319885254,1400000
728.6570072174072,1410000
735.9168529510498,1420000
725.7916927337646,1430000
732.0253849029541,1440000
754.0163993835449,1450000
753.3886432647705,1460000
754.7805309295654,1470000
764.794111251831,1480000
777.2130966186523,1490000
768.4955596923828,1500000
767.371654510498,1510000
779.716968536377,1520000
792.3290729522705,1530000
787.0607376098633,1540000
803.2150268554688,1550000
806.6637516021729,1560000
801.8362522125244,1570000
810.2734088897705,1580000
803.7030696868896,1590000
807.0836067199707,1600000
816.8694972991943,1610000
808.79807472229,1620000
834.9244594573975,1630000
864.9313449859619,1640000
841.9229984283447,1650000
867.8617477416992,1660000
850.1145839691162,1670000
860.7373237609863,1680000
845.4093933105469,1690000
871.962308883667,1700000
858.4592342376709,1710000
867.3532009124756,1720000
863.8193607330322,1730000
869.4965839385986,1740000
872.6592063903809,1750000
880.465030670166,1760000
879.5585632324219,1770000
896.2650299072266,1780000
901.986837387085,1790000
910.1920127868652,1800000
906.6071510314941,1810000
906.1169624328613,1820000
912.3320579528809,1830000
921.9274520874023,1840000
923.4704971313477,1850000
925.0562191009521,1860000
945.1873302459717,1870000
951.4796733856201,1880000
936.5420341491699,1890000
943.6519145965576,1900000
958.8298797607422,1910000
966.3844108581543,1920000
973.799467086792,1930000
971.8940258026123,1940000
984.5867156982422,1950000
986.4547252655029,1960000
990.7569885253906,1970000
999.4931221008301,1980000
