dynamic_time,query_size,dbsize
5677.087783813477,1,0
237.68138885498047,1001,0
240.84734916687012,2001,0
277.46081352233887,3001,0
335.16621589660645,4001,0
330.263614654541,5001,0
420.34363746643066,6001,0
446.46167755126953,7001,0
491.3220405578613,8001,0
7.542610168457031,1,10000
145.32804489135742,1001,10000
221.5874195098877,2001,10000
344.8607921600342,3001,10000
317.08598136901855,4001,10000
402.02784538269043,5001,10000
441.3490295410156,6001,10000
522.5460529327393,7001,10000
583.9953422546387,8001,10000
6.036520004272461,1,20000
97.90539741516113,1001,20000
193.41015815734863,2001,20000
312.0396137237549,3001,20000
376.48487091064453,4001,20000
467.5004482269287,5001,20000
478.75022888183594,6001,20000
498.66533279418945,7001,20000
581.0315608978271,8001,20000
4.337072372436523,1,30000
93.38116645812988,1001,30000
180.4184913635254,2001,30000
246.49763107299805,3001,30000
310.5747699737549,4001,30000
382.2340965270996,5001,30000
465.6834602355957,6001,30000
502.1815299987793,7001,30000
554.8198223114014,8001,30000
5.439281463623047,1,40000
102.47015953063965,1001,40000
173.03133010864258,2001,40000
264.4326686859131,3001,40000
328.88102531433105,4001,40000
371.3951110839844,5001,40000
438.0688667297363,6001,40000
525.1049995422363,7001,40000
568.8126087188721,8001,40000
4.880666732788086,1,50000
95.30782699584961,1001,50000
170.84193229675293,2001,50000
243.85952949523926,3001,50000
308.9926242828369,4001,50000
390.3846740722656,5001,50000
441.49208068847656,6001,50000
510.6701850891113,7001,50000
596.8427658081055,8001,50000
5.480289459228516,1,60000
102.23197937011719,1001,60000
175.94003677368164,2001,60000
241.43123626708984,3001,60000
308.945894241333,4001,60000
376.1904239654541,5001,60000
440.51671028137207,6001,60000
531.2240123748779,7001,60000
581.6292762756348,8001,60000
4.575490951538086,1,70000
95.69025039672852,1001,70000
174.12066459655762,2001,70000
242.8574562072754,3001,70000
334.16032791137695,4001,70000
375.21934509277344,5001,70000
445.2807903289795,6001,70000
543.6573028564453,7001,70000
564.7823810577393,8001,70000
4.137516021728516,1,80000
98.7696647644043,1001,80000
177.43515968322754,2001,80000
247.80511856079102,3001,80000
316.29180908203125,4001,80000
400.4859924316406,5001,80000
493.6251640319824,6001,80000
510.0424289703369,7001,80000
588.9997482299805,8001,80000
4.696846008300781,1,90000
116.00565910339355,1001,90000
173.7194061279297,2001,90000
247.47705459594727,3001,90000
313.9030933380127,4001,90000
394.0708637237549,5001,90000
469.0375328063965,6001,90000
518.3682441711426,7001,90000
569.4432258605957,8001,90000
4.155635833740234,1,100000
100.49653053283691,1001,100000
174.54147338867188,2001,100000
246.75250053405762,3001,100000
350.63862800598145,4001,100000
380.60450553894043,5001,100000
444.7646141052246,6001,100000
537.8420352935791,7001,100000
570.4555511474609,8001,100000
4.169702529907227,1,110000
96.24862670898438,1001,110000
174.92008209228516,2001,110000
262.5739574432373,3001,110000
314.2857551574707,4001,110000
380.9216022491455,5001,110000
469.62976455688477,6001,110000
508.12673568725586,7001,110000
573.1854438781738,8001,110000
4.173755645751953,1,120000
118.35527420043945,1001,120000
177.20675468444824,2001,120000
246.0181713104248,3001,120000
315.1407241821289,4001,120000
389.4624710083008,5001,120000
450.1996040344238,6001,120000
535.4313850402832,7001,120000
568.8917636871338,8001,120000
3.914356231689453,1,130000
94.92087364196777,1001,130000
174.99923706054688,2001,130000
252.48408317565918,3001,130000
335.4637622833252,4001,130000
380.4206848144531,5001,130000
454.8943042755127,6001,130000
536.8485450744629,7001,130000
574.8021602630615,8001,130000
4.054546356201172,1,140000
101.48215293884277,1001,140000
173.48146438598633,2001,140000
246.7172145843506,3001,140000
314.46266174316406,4001,140000
382.81941413879395,5001,140000
477.5230884552002,6001,140000
510.9686851501465,7001,140000
569.6604251861572,8001,140000
4.210710525512695,1,150000
97.19967842102051,1001,150000
196.07090950012207,2001,150000
244.3218231201172,3001,150000
325.6418704986572,4001,150000
385.9994411468506,5001,150000
449.27453994750977,6001,150000
548.0031967163086,7001,150000
627.3891925811768,8001,150000
3.9958953857421875,1,160000
101.3951301574707,1001,160000
179.75234985351562,2001,160000
254.4701099395752,3001,160000
339.6480083465576,4001,160000
385.30921936035156,5001,160000
444.1351890563965,6001,160000
514.2879486083984,7001,160000
620.063304901123,8001,160000
4.00853157043457,1,170000
95.98660469055176,1001,170000
175.97413063049316,2001,170000
248.4745979309082,3001,170000
326.0838985443115,4001,170000
387.526273727417,5001,170000
470.08466720581055,6001,170000
529.3972492218018,7001,170000
573.2808113098145,8001,170000
3.7221908569335938,1,180000
95.64995765686035,1001,180000
174.4372844696045,2001,180000
269.00601387023926,3001,180000
314.73350524902344,4001,180000
387.4778747558594,5001,180000
462.8722667694092,6001,180000
535.9451770782471,7001,180000
597.4400043487549,8001,180000
4.133939743041992,1,190000
97.97430038452148,1001,190000
178.93624305725098,2001,190000
252.96735763549805,3001,190000
318.8519477844238,4001,190000
422.6419925689697,5001,190000
454.8780918121338,6001,190000
543.15185546875,7001,190000
596.9862937927246,8001,190000
3.7720203399658203,1,200000
95.93391418457031,1001,200000
175.55570602416992,2001,200000
258.7282657623291,3001,200000
318.38250160217285,4001,200000
386.95240020751953,5001,200000
486.99140548706055,6001,200000
515.3169631958008,7001,200000
591.3934707641602,8001,200000
4.366636276245117,1,210000
101.27568244934082,1001,210000
199.82290267944336,2001,210000
251.70540809631348,3001,210000
320.0991153717041,4001,210000
