insert time in msek,insert size,dbsize in triples
6251.479625701904,1,1000000
445.53422927856445,1001,1000000
516.1116123199463,2001,1000000
609.0395450592041,3001,1000000
643.2385444641113,4001,1000000
755.1066875457764,5001,1000000
817.7731037139893,6001,1000000
1193.772315979004,7001,1000000
1051.7699718475342,8001,1000000
6.398200988769531,1,1010000
153.46074104309082,1001,1010000
266.48402214050293,2001,1010000
392.9867744445801,3001,1010000
519.6430683135986,4001,1010000
626.7437934875488,5001,1010000
805.6221008300781,6001,1010000
881.8304538726807,7001,1010000
991.0275936126709,8001,1010000
5.728960037231445,1,1020000
142.99941062927246,1001,1020000
260.8072757720947,2001,1020000
410.3410243988037,3001,1020000
512.9082202911377,4001,1020000
627.9592514038086,5001,1020000
757.7464580535889,6001,1020000
912.7845764160156,7001,1020000
995.2652454376221,8001,1020000
5.09190559387207,1,1030000
134.77253913879395,1001,1030000
255.91349601745605,2001,1030000
380.0382614135742,3001,1030000
537.6908779144287,4001,1030000
630.1753520965576,5001,1030000
756.4327716827393,6001,1030000
886.1386775970459,7001,1030000
984.6992492675781,8001,1030000
5.330562591552734,1,1040000
134.2475414276123,1001,1040000
260.5452537536621,2001,1040000
386.6243362426758,3001,1040000
508.5160732269287,4001,1040000
652.9860496520996,5001,1040000
766.9723033905029,6001,1040000
870.9883689880371,7001,1040000
1011.5611553192139,8001,1040000
5.188703536987305,1,1050000
132.7688694000244,1001,1050000
254.0280818939209,2001,1050000
384.25755500793457,3001,1050000
509.7777843475342,4001,1050000
631.1588287353516,5001,1050000
784.0988636016846,6001,1050000
877.1283626556396,7001,1050000
994.2152500152588,8001,1050000
4.98199462890625,1,1060000
131.33811950683594,1001,1060000
255.50270080566406,2001,1060000
411.76629066467285,3001,1060000
504.8825740814209,4001,1060000
632.9617500305176,5001,1060000
755.0184726715088,6001,1060000
902.7895927429199,7001,1060000
990.6601905822754,8001,1060000
5.478620529174805,1,1070000
134.76061820983887,1001,1070000
262.18247413635254,2001,1070000
386.65246963500977,3001,1070000
543.8709259033203,4001,1070000
638.7336254119873,5001,1070000
762.8622055053711,6001,1070000
908.0655574798584,7001,1070000
1002.3212432861328,8001,1070000
4.662990570068359,1,1080000
133.75520706176758,1001,1080000
259.2129707336426,2001,1080000
400.55346488952637,3001,1080000
