dynamic_time,query_size,generation_time,dbsize
30.388355255126953,1,930.1102161407471,1000000
408.68282318115234,1001,1019.456148147583,1000000
636.8110179901123,2001,950.5150318145752,1000000
1066.8573379516602,3001,909.4541072845459,1000000
973.4518527984619,4001,1013.6232376098633,1000000
1195.556402206421,5001,943.1734085083008,1000000
1311.3391399383545,6001,946.4066028594971,1000000
1590.2228355407715,7001,1010.3528499603271,1000000
1653.1598567962646,8001,1272.7277278900146,1000000
25.4361629486084,1,885.4823112487793,1050000
341.45522117614746,1001,1142.087697982788,1050000
669.9728965759277,2001,1041.527509689331,1050000
1111.7627620697021,3001,1403.1620025634766,1050000
1245.8722591400146,4001,1005.4254531860352,1050000
1271.0793018341064,5001,1126.8866062164307,1050000
1338.6025428771973,6001,1043.9066886901855,1050000
1523.0915546417236,7001,2290.724515914917,1050000
1882.6594352722168,8001,1140.8827304840088,1050000
40.67182540893555,1,1485.1126670837402,1100000
369.60554122924805,1001,1042.6959991455078,1100000
527.1995067596436,2001,917.4137115478516,1100000
651.3478755950928,3001,860.6314659118652,1100000
867.577075958252,4001,896.5966701507568,1100000
1242.1760559082031,5001,927.9370307922363,1100000
1397.1664905548096,6001,923.5620498657227,1100000
1352.6086807250977,7001,907.9065322875977,1100000
1884.7713470458984,8001,867.0501708984375,1100000
22.982358932495117,1,904.3130874633789,1150000
332.8719139099121,1001,965.8777713775635,1150000
620.990514755249,2001,1062.8283023834229,1150000
749.2189407348633,3001,887.0437145233154,1150000
1062.4878406524658,4001,1066.3299560546875,1150000
1542.1459674835205,5001,1091.296672821045,1150000
1424.4163036346436,6001,1037.9087924957275,1150000
1633.4788799285889,7001,919.5985794067383,1150000
2007.293939590454,8001,853.7189960479736,1150000
26.846647262573242,1,952.5132179260254,1200000
610.8524799346924,1001,1374.6700286865234,1200000
647.3391056060791,2001,889.3418312072754,1200000
750.0274181365967,3001,946.6314315795898,1200000
1207.7913284301758,4001,936.7051124572754,1200000
1095.7813262939453,5001,1035.8469486236572,1200000
1326.1733055114746,6001,1253.4639835357666,1200000
1751.8970966339111,7001,1011.2390518188477,1200000
1619.2340850830078,8001,1052.4048805236816,1200000
27.09054946899414,1,1039.398431777954,1250000
530.5435657501221,1001,1084.5136642456055,1250000
604.6831607818604,2001,1002.122163772583,1250000
749.8295307159424,3001,1095.6757068634033,1250000
1095.3214168548584,4001,930.2470684051514,1250000
1070.0385570526123,5001,944.1952705383301,1250000
1299.604892730713,6001,1023.3380794525146,1250000
1893.5775756835938,7001,892.1968936920166,1250000
1559.901237487793,8001,931.2942028045654,1250000
22.588729858398438,1,974.2209911346436,1300000
413.3589267730713,1001,1356.858253479004,1300000
541.5694713592529,2001,918.7264442443848,1300000
797.081708908081,3001,1116.3578033447266,1300000
843.2185649871826,4001,989.6078109741211,1300000
1156.4180850982666,5001,934.3967437744141,1300000
1271.111011505127,6001,906.9256782531738,1300000
1342.7362442016602,7001,899.4026184082031,1300000
1626.800775527954,8001,875.4322528839111,1300000
25.182008743286133,1,911.9472503662109,1350000
374.7527599334717,1001,1008.4986686706543,1350000
535.9854698181152,2001,878.2274723052979,1350000
698.2338428497314,3001,858.4935665130615,1350000
949.1219520568848,4001,1598.214864730835,1350000
1108.2189083099365,5001,879.5244693756104,1350000
1528.120517730713,6001,870.2304363250732,1350000
1532.902717590332,7001,877.2153854370117,1350000
1660.8326435089111,8001,890.739917755127,1350000
24.396657943725586,1,893.5403823852539,1400000
396.575927734375,1001,991.3249015808105,1400000
573.3110904693604,2001,2067.561626434326,1400000
678.6344051361084,3001,942.152738571167,1400000
908.2081317901611,4001,946.8927383422852,1400000
1359.7862720489502,5001,923.5949516296387,1400000
1201.812744140625,6001,911.9257926940918,1400000
2096.8079566955566,7001,863.9144897460938,1400000
1707.5819969177246,8001,947.1333026885986,1400000
22.09782600402832,1,895.986795425415,1450000
403.21850776672363,1001,965.9473896026611,1450000
543.3940887451172,2001,946.326494216919,1450000
752.6555061340332,3001,943.2039260864258,1450000
914.7348403930664,4001,994.1227436065674,1450000
969.886302947998,5001,1042.353630065918,1450000
1223.9179611206055,6001,920.9535121917725,1450000
1373.155117034912,7001,1007.6267719268799,1450000
1630.8960914611816,8001,1383.6445808410645,1450000
24.055957794189453,1,975.2788543701172,1500000
449.91064071655273,1001,1566.8838024139404,1500000
568.1288242340088,2001,931.1676025390625,1500000
784.0890884399414,3001,1220.1802730560303,1500000
987.572431564331,4001,1005.4402351379395,1500000
