insert time in msek,insert size,dbsize in triples
6329.771280288696,1,1000000
404.3426513671875,1001,1000000
485.81886291503906,2001,1000000
808.5875511169434,3001,1000000
822.0796585083008,4001,1000000
878.3402442932129,5001,1000000
866.0199642181396,6001,1000000
901.8678665161133,7001,1000000
1026.4701843261719,8001,1000000
6.908655166625977,1,1010000
135.77866554260254,1001,1010000
273.8492488861084,2001,1010000
377.7503967285156,3001,1010000
490.1549816131592,4001,1010000
623.2776641845703,5001,1010000
770.0598239898682,6001,1010000
846.8053340911865,7001,1010000
964.5934104919434,8001,1010000
5.671262741088867,1,1020000
133.62598419189453,1001,1020000
254.49109077453613,2001,1020000
389.3094062805176,3001,1020000
519.7677612304688,4001,1020000
633.8706016540527,5001,1020000
745.4330921173096,6001,1020000
872.57981300354,7001,1020000
1002.1095275878906,8001,1020000
5.319356918334961,1,1030000
128.96394729614258,1001,1030000
248.51250648498535,2001,1030000
374.3734359741211,3001,1030000
497.4815845489502,4001,1030000
636.3451480865479,5001,1030000
729.245662689209,6001,1030000
841.0418033599854,7001,1030000
984.304666519165,8001,1030000
5.768537521362305,1,1040000
132.51805305480957,1001,1040000
257.6284408569336,2001,1040000
385.35594940185547,3001,1040000
502.1944046020508,4001,1040000
624.8700618743896,5001,1040000
777.2355079650879,6001,1040000
865.3199672698975,7001,1040000
978.3294200897217,8001,1040000
5.398273468017578,1,1050000
131.6065788269043,1001,1050000
256.0687065124512,2001,1050000
400.1426696777344,3001,1050000
509.6297264099121,4001,1050000
614.5141124725342,5001,1050000
743.6976432800293,6001,1050000
894.141435623169,7001,1050000
969.5858955383301,8001,1050000
4.864931106567383,1,1060000
130.9514045715332,1001,1060000
251.50012969970703,2001,1060000
383.0575942993164,3001,1060000
522.9480266571045,4001,1060000
620.2983856201172,5001,1060000
756.0791969299316,6001,1060000
862.199068069458,7001,1060000
1009.07301902771,8001,1060000
5.024909973144531,1,1070000
131.4384937286377,1001,1070000
253.403902053833,2001,1070000
382.31778144836426,3001,1070000
500.95391273498535,4001,1070000
660.9170436859131,5001,1070000
754.8701763153076,6001,1070000
859.1930866241455,7001,1070000
1004.8272609710693,8001,1070000
5.045413970947266,1,1080000
134.52720642089844,1001,1080000
254.60219383239746,2001,1080000
385.5328559875488,3001,1080000
507.1847438812256,4001,1080000
632.7540874481201,5001,1080000
798.6671924591064,6001,1080000
871.1612224578857,7001,1080000
994.556188583374,8001,1080000
4.853010177612305,1,1090000
136.95907592773438,1001,1090000
262.9063129425049,2001,1090000
410.8123779296875,3001,1090000
513.5281085968018,4001,1090000
642.2600746154785,5001,1090000
761.9543075561523,6001,1090000
894.4215774536133,7001,1090000
1007.5714588165283,8001,1090000
4.74238395690918,1,1100000
134.52458381652832,1001,1100000
260.7738971710205,2001,1100000
387.59589195251465,3001,1100000
536.7166996002197,4001,1100000
649.0678787231445,5001,1100000
761.3568305969238,6001,1100000
880.108118057251,7001,1100000
1034.1310501098633,8001,1100000
4.709720611572266,1,1110000
130.76353073120117,1001,1110000
256.6685676574707,2001,1110000
380.1264762878418,3001,1110000
497.04599380493164,4001,1110000
620.2359199523926,5001,1110000
761.3322734832764,6001,1110000
866.3041591644287,7001,1110000
1011.6066932678223,8001,1110000
4.425048828125,1,1120000
130.6307315826416,1001,1120000
254.00352478027344,2001,1120000
373.7828731536865,3001,1120000
495.0289726257324,4001,1120000
618.69215965271,5001,1120000
736.8974685668945,6001,1120000
875.5147457122803,7001,1120000
974.1408824920654,8001,1120000
4.311084747314453,1,1130000
133.697509765625,1001,1130000
262.90202140808105,2001,1130000
387.1264457702637,3001,1130000
535.639762878418,4001,1130000
649.8105525970459,5001,1130000
777.6901721954346,6001,1130000
906.9254398345947,7001,1130000
1000.91552734375,8001,1130000
4.5642852783203125,1,1140000
135.14375686645508,1001,1140000
261.99841499328613,2001,1140000
390.06781578063965,3001,1140000
516.5231227874756,4001,1140000
662.7235412597656,5001,1140000
756.5164566040039,6001,1140000
902.0614624023438,7001,1140000
1018.3541774749756,8001,1140000
4.749298095703125,1,1150000
132.9493522644043,1001,1150000
261.64698600769043,2001,1150000
387.74824142456055,3001,1150000
515.9435272216797,4001,1150000
638.2815837860107,5001,1150000
794.560432434082,6001,1150000
886.0471248626709,7001,1150000
1024.5180130004883,8001,1150000
4.347324371337891,1,1160000
133.0556869506836,1001,1160000
258.87155532836914,2001,1160000
383.5282325744629,3001,1160000
503.4635066986084,4001,1160000
619.2419528961182,5001,1160000
761.9516849517822,6001,1160000
882.3661804199219,7001,1160000
984.7981929779053,8001,1160000
4.255533218383789,1,1170000
130.01775741577148,1001,1170000
260.42795181274414,2001,1170000
399.4100093841553,3001,1170000
504.7779083251953,4001,1170000
625.3619194030762,5001,1170000
751.0607242584229,6001,1170000
890.923261642456,7001,1170000
991.586446762085,8001,1170000
4.443883895874023,1,1180000
131.48069381713867,1001,1180000
250.9765625,2001,1180000
376.08957290649414,3001,1180000
502.49719619750977,4001,1180000
646.9395160675049,5001,1180000
743.7889575958252,6001,1180000
876.1494159698486,7001,1180000
1005.22780418396,8001,1180000
4.96673583984375,1,1190000
136.00540161132812,1001,1190000
261.25621795654297,2001,1190000
391.4501667022705,3001,1190000
518.4731483459473,4001,1190000
640.800952911377,5001,1190000
787.1816158294678,6001,1190000
879.1415691375732,7001,1190000
1003.7436485290527,8001,1190000
4.07862663269043,1,1200000
132.46560096740723,1001,1200000
256.5000057220459,2001,1200000
404.77752685546875,3001,1200000
509.4418525695801,4001,1200000
634.3624591827393,5001,1200000
759.331226348877,6001,1200000
904.3149948120117,7001,1200000
995.8431720733643,8001,1200000
4.213094711303711,1,1210000
134.0622901916504,1001,1210000
258.52274894714355,2001,1210000
382.6117515563965,3001,1210000
532.5813293457031,4001,1210000
628.3748149871826,5001,1210000
755.9218406677246,6001,1210000
902.5578498840332,7001,1210000
991.3909435272217,8001,1210000
4.169464111328125,1,1220000
128.9522647857666,1001,1220000
251.2671947479248,2001,1220000
373.5220432281494,3001,1220000
499.8130798339844,4001,1220000
