dynamic time in msek,amount of triples inserted,generation time in msek,dbsize in triples
76.43628120422363,1,4039.38627243042,1000000
2997.51615524292,1001,4596.240282058716,1000000
177.55579948425293,2001,2.332925796508789,1000000
2688.041925430298,3001,3001.107692718506,1000000
55.78041076660156,1,4080.472230911255,1010000
1124.398946762085,1001,2769.0610885620117,1010000
4162.554979324341,2001,2786.8878841400146,1010000
51651.10754966736,3001,2567.1334266662598,1010000
111.90962791442871,1,4084.2654705047607,1020000
843.1379795074463,1001,3069.8633193969727,1020000
2241.715431213379,2001,9653.08928489685,1020000
5476.980924606323,3001,3724.7567176818848,1020000
40.04240036010742,1,2723.8404750823975,1030000
2562.979221343994,1001,11493.043422698975,1030000
3828.7909030914307,2001,3507.8213214874268,1030000
22131.514072418213,3001,20928.261756896973,1030000
218.22571754455566,1,10068.76826286316,1040000
1104.952335357666,1001,13529.584407806396,1040000
8305.80186843872,2001,4027.0836353302,1040000
4929.923057556152,3001,3324.148654937744,1040000
124.24206733703613,1,15199.185371398926,1050000
2325.193166732788,1001,3091.4673805236816,1050000
7856.883525848389,2001,3530.484676361084,1050000
3675.349473953247,3001,2531.785726547241,1050000
59.63444709777832,1,2876.7950534820557,1060000
2457.547426223755,1001,3065.6981468200684,1060000
2685.5826377868652,2001,3472.9743003845215,1060000
7578.555583953857,3001,3886.49582862854,1060000
50.65774917602539,1,9558.879613876343,1070000
4977.187156677246,1001,6858.542203903198,1070000
4586.4012241363525,2001,3244.182586669922,1070000
5285.490989685059,3001,2936.286449432373,1070000
52.021026611328125,1,3441.0009384155273,1080000
2403.902053833008,1001,2845.2911376953125,1080000
1268.7592506408691,2001,2638.5862827301025,1080000
5246.639966964722,3001,5664.884090423584,1080000
94.82288360595703,1,2825.9129524230957,1090000
2589.3173217773438,1001,2683.411121368408,1090000
1436.8023872375488,2001,2636.0058784484863,1090000
3362.339735031128,3001,2626.791477203369,1090000
54.83722686767578,1,2784.497022628784,1100000
2522.913694381714,1001,3291.2750244140625,1100000
3559.149742126465,2001,2697.24178314209,1100000
4040.222406387329,3001,3674.6559143066406,1100000
83.25338363647461,1,2728.855609893799,1110000
3913.67506980896,1001,2577.732563018799,1110000
5583.124399185181,2001,2859.4961166381836,1110000
5349.170923233032,3001,3025.2084732055664,1110000
114.74132537841797,1,3059.451103210449,1120000
1310.0078105926514,1001,11352.622747421265,1120000
1589.2455577850342,2001,2603.7611961364746,1120000
5118.110418319702,3001,3037.9631519317627,1120000
224.19500350952148,1,11598.68597984314,1130000
902.8289318084717,1001,3192.362070083618,1130000
2610.4283332824707,2001,3294.7025299072266,1130000
8926.942348480225,3001,2855.6625843048096,1130000
4.491567611694336,1,2.971172332763672,1140000
4471.854209899902,1001,2728.5428047180176,1140000
1196.94185256958,2001,2644.955635070801,1140000
5091.794729232788,3001,3308.681011199951,1140000
58.90393257141113,1,2670.9892749786377,1150000
731.2295436859131,1001,2683.7399005889893,1150000
3731.428623199463,2001,3153.738260269165,1150000
2095.562219619751,3001,2622.856855392456,1150000
100.47793388366699,1,4912.365198135376,1160000
3632.636308670044,1001,2580.5892944335938,1160000
1344.2409038543701,2001,2777.5020599365234,1160000
2070.4376697540283,3001,2538.424253463745,1160000
93.88256072998047,1,3463.3262157440186,1170000
813.9770030975342,1001,8173.409938812256,1170000
2678.095817565918,2001,2606.5828800201416,1170000
8567.26098060608,3001,3881.7481994628906,1170000
115.95535278320312,1,5711.373090744019,1180000
1661.797285079956,1001,3152.820110321045,1180000
2576.4667987823486,2001,2851.4835834503174,1180000
4743.035554885864,3001,2616.562843322754,1180000
262.5603675842285,1,3184.5624446868896,1190000
2324.5673179626465,1001,2609.6582412719727,1190000
4266.384601593018,2001,4109.847545623779,1190000
28231.383323669434,3001,2597.4647998809814,1190000
98.17719459533691,1,3272.918701171875,1200000
880.9792995452881,1001,2669.116735458374,1200000
1303.1485080718994,2001,2546.8978881835938,1200000
5181.865453720093,3001,6165.985345840454,1200000
98.22487831115723,1,5082.713842391968,1210000
1238.443374633789,1001,3130.9850215911865,1210000
4379.105806350708,2001,7333.558797836304,1210000
2086.681604385376,3001,2588.9694690704346,1210000
116.11461639404297,1,19052.31475830078,1220000
1008.0785751342773,1001,2589.2529487609863,1220000
3881.697654724121,2001,3648.0026245117188,1220000
5151.031494140625,3001,2912.797689437866,1220000
400.9358882904053,1,8840.564727783203,1230000
2435.662031173706,1001,3111.9565963745117,1230000
4172.381401062012,2001,3161.9105339050293,1230000
4711.053848266602,3001,3763.272523880005,1230000
95.34955024719238,1,4082.8630924224854,1240000
701.4486789703369,1001,3470.9560871124268,1240000
10455.439329147339,2001,3106.703519821167,1240000
6557.272434234619,3001,2964.857816696167,1240000
136.5659236907959,1,3099.776268005371,1250000
877.570390701294,1001,5354.2890548706055,1250000
2052.2964000701904,2001,3568.2756900787354,1250000
5721.882104873657,3001,2910.4931354522705,1250000
194.32449340820312,1,3814.445734024048,1260000
2452.784299850464,1001,4027.5049209594727,1260000
5473.6082553863525,2001,6926.283836364746,1260000
9283.440589904785,3001,3268.237590789795,1260000
261.0495090484619,1,14333.999156951904,1270000
964.5540714263916,1001,5692.997455596924,1270000
14525.221824645996,2001,3364.0029430389404,1270000
3288.0852222442627,3001,2949.397325515747,1270000
948.049783706665,1,5857.53870010376,1280000
1641.8063640594482,1001,5228.71994972229,1280000
4681.944131851196,2001,3119.6935176849365,1280000
3411.5829467773438,3001,7284.253835678101,1280000
268.1887149810791,1,17710.219383239746,1290000
25522.00746536255,1001,3050.065517425537,1290000
2622.4842071533203,2001,2602.250337600708,1290000
5724.135875701904,3001,2966.14408493042,1290000
179.45551872253418,1,3624.345541000366,1300000
5322.444200515747,1001,2651.064395904541,1300000
1717.6964282989502,2001,3707.509994506836,1300000
15584.495544433594,3001,3061.4240169525146,1300000
190.62328338623047,1,3041.4044857025146,1310000
6262.107610702515,1001,9405.959606170654,1310000
1217.9515361785889,2001,2687.1557235717773,1310000
4062.335729598999,3001,19852.5447845459,1310000
276.8087387084961,1,13786.406517028809,1320000
1652.6734828948975,1001,4636.342525482178,1320000
28533.977270126343,2001,2663.992404937744,1320000
5435.354948043823,3001,3563.2309913635254,1320000
52.521705627441406,1,2723.811388015747,1330000
889.7285461425781,1001,2541.2819385528564,1330000
11902.141094207764,2001,3501.2078285217285,1330000
9153.76877784729,3001,3053.0800819396973,1330000
83.94169807434082,1,2965.9628868103027,1340000
9506.468772888184,1001,3125.5180835723877,1340000
28333.175659179688,2001,2490.3430938720703,1340000
7305.925607681274,3001,3204.620599746704,1340000
106.8868637084961,1,2959.57088470459,1350000
3462.0730876922607,1001,6650.120735168457,1350000
52068.660497665405,2001,2881.3066482543945,1350000
9712.615251541138,3001,2837.3985290527344,1350000
204.51831817626953,1,31546.027898788452,1360000
3762.5436782836914,1001,3100.8858680725098,1360000
10215.657472610474,2001,2846.203088760376,1360000
3385.279655456543,3001,10094.935178756714,1360000
90.18492698669434,1,2852.752685546875,1370000
996.4661598205566,1001,3321.8114376068115,1370000
1267.7431106567383,2001,5991.261959075928,1370000
27237.609148025513,3001,11952.841997146606,1370000
91.14670753479004,1,2633.758306503296,1380000
9608.556985855103,1001,3623.298168182373,1380000
4662.672281265259,2001,5176.9044399261475,1380000
1640.7899856567383,3001,2711.9879722595215,1380000
107.8484058380127,1,3191.087245941162,1390000
27290.022611618042,1001,15917.78016090393,1390000
4365.401744842529,2001,2960.1364135742188,1390000
8363.633871078491,3001,3012.9098892211914,1390000
102.88000106811523,1,2755.5391788482666,1400000
2280.5135250091553,1001,2961.1501693725586,1400000
31431.320190429688,2001,5259.9945068359375,1400000
5596.13823890686,3001,4943.4661865234375,1400000
340.58666229248047,1,3487.9679679870605,1410000
1516.0589218139648,1001,5138.481616973877,1410000
4057.504892349243,2001,3265.507698059082,1410000
5268.427848815918,3001,2488.384962081909,1410000
71.27618789672852,1,3140.3117179870605,1420000
2422.7612018585205,1001,3653.4957885742188,1420000
4558.185815811157,2001,3180.8886528015137,1420000
5990.551710128784,3001,3477.7517318725586,1420000
158.84804725646973,1,3935.0898265838623,1430000
2298.128604888916,1001,3049.738883972168,1430000
1352.8594970703125,2001,2676.8925189971924,1430000
1946.3224411010742,3001,14987.016916275024,1430000
52.83069610595703,1,5252.804279327393,1440000
972.9166030883789,1001,2969.8197841644287,1440000
6945.391654968262,2001,2732.8248023986816,1440000
14712.761402130127,3001,3347.161293029785,1440000
96.39215469360352,1,3230.319023132324,1450000
1996.35910987854,1001,3186.923027038574,1450000
1467.9675102233887,2001,5111.058950424194,1450000
15390.093088150024,3001,3078.7603855133057,1450000
65.65427780151367,1,3457.7550888061523,1460000
3034.985303878784,1001,2735.7003688812256,1460000
3730.494499206543,2001,2913.954019546509,1460000
32037.594318389893,3001,2722.360372543335,1460000
92.742919921875,1,3961.6498947143555,1470000
988.438606262207,1001,2795.4587936401367,1470000
4272.571086883545,2001,2998.005151748657,1470000
8972.69892692566,3001,3209.6235752105713,1470000
52.864789962768555,1,2778.117895126343,1480000
1758.373498916626,1001,5942.564487457275,1480000
1548.2113361358643,2001,2568.6521530151367,1480000
5434.760332107544,3001,2872.5595474243164,1480000
63.1866455078125,1,3216.8188095092773,1490000
2799.7817993164062,1001,3734.9140644073486,1490000
5005.575656890869,2001,2713.3755683898926,1490000
3411.506175994873,3001,3321.155309677124,1490000
57.04832077026367,1,3070.6348419189453,1500000
2946.922540664673,1001,6865.400075912476,1500000
4708.049058914185,2001,2929.905652999878,1500000
4894.680023193359,3001,3244.1775798797607,1500000
84.24067497253418,1,3003.1681060791016,1510000
4081.7277431488037,1001,3926.5496730804443,1510000
4344.020366668701,2001,7095.760822296143,1510000
5714.422225952148,3001,4076.4944553375244,1510000
284.6517562866211,1,2914.4437313079834,1520000
4863.301992416382,1001,3263.630151748657,1520000
3880.39231300354,2001,9906.75401687622,1520000
18444.448709487915,3001,28611.589908599854,1520000
158.65492820739746,1,3513.6935710906982,1530000
2519.359350204468,1001,2737.032890319824,1530000
4301.4421463012695,2001,3036.8008613586426,1530000
4926.747798919678,3001,2848.438501358032,1530000
329.6945095062256,1,17248.257637023926,1540000
2390.599489212036,1001,2650.719165802002,1540000
4049.192190170288,2001,7346.685886383057,1540000
3499.7031688690186,3001,3179.7215938568115,1540000
47.56307601928711,1,2844.733476638794,1550000
2965.4808044433594,1001,2902.9617309570312,1550000
3822.213888168335,2001,3698.6801624298096,1550000
15653.671741485596,3001,2565.7482147216797,1550000
55.50670623779297,1,4275.059938430786,1560000
6139.611005783081,1001,2897.7901935577393,1560000
